Issue ID,First Name,Last Name,ATM ID,Email,Symptom,Photo,Description,Category,Assigned Tech,Date Created,Resolved,Notes,Date Resolved
0d5ff8ed8d,Fredrick,Thompson,33562,fredrick.thompson@fakeitcompany.com,ATM wont turn on,,ATM screen is black,General Issues,Shelley Ginder,10/13/2016 18:06:00,TRUE,,
d9c1547599,Patsy,Sheehan,66722,patsy.sheehan@fakeitcompany.com,Card reader not working,,The ATM is not recognizing cards,General Issues,Justin Sample,10/14/2016 18:06:00,TRUE,,
e0cb653f42,Jon,Snow,3351,jon.snow@fakeitcompany.com,Broken keypad,,The 2 on the keypad isn't working,General Issues,Shelley Ginder,10/15/2016 18:06:00,TRUE,,
94803beda8,Alexander,Ramos,37490,alexander.ramos@fakeitcompany.com,Low cash supply,,"ATM dispensed 2 $10 bills, instead of 1 $20 bill",Cash Dispenser,Miles Barron,10/16/2016 18:06:00,TRUE,,
da18217bc3,Verna,Moore,77827,verna.moore@fakeitcompany.com,Cash dispenser jam,,Cash is stuck,Cash Dispenser,Miles Barron,10/17/2016 18:06:00,FALSE,,
d146f1ccc1,Megan,Iverson,51428,megan.iverson@fakeitcompany.com,Connection error,,Cannot connect to bank's network,Connection error,Nia Jones,10/18/2016 18:06:00,FALSE,,
045dbe3b7b,Paul,Edson,16252,paul.edson@fakeitcompany.com,Not listed,,ATM is not recognizing a correct PIN,General Issues,Justin Sample,10/19/2016 18:06:00,FALSE,,
d9d1df320a,Danielle,West,98308,danielle.west@fakeitcompany.com,Receipt printer out of paper,,Receipt didn't print,Receipts,Jean Clark,10/20/2016 18:06:00,FALSE,,
JTXhApOb,Alexander,Ramos,37490,alexander.ramos@fakeitcompany.com,Receipt printer out of ink,,Receipt printed blank,Receipts,Jean Clark,10/21/2016 18:06:00,FALSE,,
23a5558b,Subscribe,abhishek,ABC123,student-01-41527e028127@qwiklabs.net,Card reader not working,,,General Issues,Shelley Ginder,7/29/2023 22:37:00,FALSE,,
ac7aa33f,Freeda,,Freeda123,,Receipt printer out of ink,,,Receipts,Jean Clark,7/29/2023 22:42:00,FALSE,,
